paket_numarasi,uydu_statusu,hata_kodu,gonderme_saat,basinc1,basinc2,yukseklik1,yukseklik2,irtifa_farki,inis_hizi,sicaklik,pil_gerilim,gps_latitude,gps_longitude,gps_altitude,pitch,yaw,roll,takim_no,video_aktarim_bilgisi
60,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.0,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
61,0,1/1/0/0/0,Time,92726,0,741.84,0,741.84,0.0899999999999181,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
62,0,1/0/0/0/0,Time,92721,0,742.29,0,742.29,-0.4499999999999318,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
63,0,1/1/0/0/0,Time,92721,0,742.29,0,742.29,0.0,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
64,0,1/1/0/0/0,Time,92721,0,742.29,0,742.29,0.0,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
65,0,1/1/0/0/0,Time,92722,0,742.2,0,742.2,0.0899999999999181,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
66,0,1/0/0/0/0,Time,92717,0,742.65,0,742.65,-0.4499999999999318,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
67,0,1/1/0/0/0,Time,92728,0,741.66,0,741.66,0.9900000000000092,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
68,0,1/0/0/0/0,Time,92726,0,741.84,0,741.84,-0.1800000000000636,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
69,0,1/0/0/0/0,Time,92723,0,742.11,0,742.11,-0.2699999999999818,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
70,0,1/0/0/0/0,Time,92719,0,742.47,0,742.47,-0.3600000000000136,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
71,0,1/1/0/0/0,Time,92722,0,742.2,0,742.2,0.2699999999999818,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
72,0,1/1/0/0/0,Time,92723,0,742.11,0,742.11,0.0900000000000318,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
73,0,1/1/0/0/0,Time,92731,0,741.4,0,741.4,0.7100000000000364,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
74,0,1/0/0/0/0,Time,92725,0,741.93,0,741.93,-0.5299999999999727,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
